sample	P057	P054	P052	P050	P049	P048	P047	P046	P044	P043	P042	P040	P039	P037	P036	P035	P034	P029	P028	P027	P022	P019	P016	P015	P014	P013	P011	P009	P007	P006	P004	P003	P002	MSM_L2_F7	MSM_L2_F6	MSM_L2_F5	MSM_L2_F4	MSM_L2_F3	MSM_L2_F2	MSM_L2_F1	MSM_L2_E9	MSM_L2_E8	MSM_L2_E7	MSM_L2_E6	MSM_L2_E5	MSM_L2_E4	MSM_L2_E3	MSM_L2_E2	MSM_L2_E1	MSM_L2_E12	MSM_L2_E11	MSM_L2_E10	MSM_L2_D9	MSM_L2_D8	MSM_L2_D7	MSM_L2_D6	MSM_L2_D5	MSM_L2_D4	MSM_L2_D3	MSM_L2_D2	MSM_L2_D1	MSM_L2_D12	MSM_L2_D11	MSM_L2_D10	MSM_L2_C9	MSM_L2_C8	MSM_L2_C7	MSM_L2_C6	MSM_L2_C2	MSM_L2_C1	MSM_L2_C12	MSM_L2_B9	MSM_L2_B8	MSM_L2_B6	MSM_L2_B5	MSM_L2_B12	MSM_L2_B11	MSM_L2_A8	MSM_L2_A5	MSM_L2_A1	MSM_L2_A12	MSM_L2_A10	MSM_L1_D8	MSM_L1_D5	MSM_L1_D4	MSM_L1_D3	MSM_L1_D1	MSM_L1_D12	MSM_L1_D10	MSM_L1_C7	MSM_L1_C6	MSM_L1_C3	MSM_L1_C2	MSM_L1_B9	MSM_L1_B8	MSM_L1_B6	MSM_L1_B5	MSM_L1_B3	MSM_L1_B2	MSM_L1_B1	MSM_L1_B11	MSM_L1_B10	MSM_L1_A9	MSM_L1_A7	MSM_L1_A6	MSM_L1_A5	MSM_L1_A12	MSM_L1_A10	KHK8	KHK59	KHK58	KHK57	KHK56	KHK55	KHK54	KHK53	KHK52	KHK51	KHK4	KHK48	KHK46	KHK44	KHK43	KHK3	KHK39	KHK37	KHK36	KHK35	KHK34	KHK33	KHK2	KHK29	KHK28	KHK25	KHK24	KHK1	KHK19	KHK16	KHK11
GGB9695_SGB15209|t__SGB15209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00137	0.0	0.0	0.0	0.0	0.00197	0.0	0.0	0.0	0.00615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00624	0.0	0.0	2.50663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00387	0.0	0.0	0.0	0.0	0.0
GGB9695_SGB15210|t__SGB15210	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01897	0.0	0.0	0.0	0.0	0.00252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07111	0.0	0.0	0.0	0.00876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB9695_SGB15211|t__SGB15211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB9696_SGB15212|t__SGB15212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02121	0.0	0.00112	0.0	0.0	0.02662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00077	0.0	0.0	0.0	0.09397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02558	0.00035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02609	0.0	0.04505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB9697_SGB15213|t__SGB15213	0.0	0.0	0.0	0.0	0.01453	0.01386	0.0	0.0	0.05718	0.00437	0.0	0.00736	0.0	0.0	0.04121	0.0	0.01719	0.0	0.0	0.0	0.0	0.04523	0.34494	0.0	0.08473	0.0	0.00327	0.03381	0.01615	0.0	0.0	0.13708	0.03683	0.0	0.01268	0.00075	0.0	0.0	0.0	0.0	0.0	0.0	0.01473	0.0	0.02529	0.0	0.00113	0.0	0.0144	0.0	0.0	0.0	0.0	0.05312	0.00646	0.0	0.0	0.00609	0.0	0.0	0.0	0.01649	0.0	0.00117	0.38058	0.0	0.0	0.0	0.0	0.0	0.03464	0.00955	0.00511	0.04021	0.03188	0.0	0.0	0.30431	0.00734	0.0	0.00255	0.03015	0.0	0.0	0.0	0.0	0.0	0.04343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00356	0.0025	0.0	0.0	0.0	0.0	0.02378	0.0	0.19527	0.0	0.0	0.0	0.0	0.0	0.25181	0.0	0.0	0.0	0.03018	0.01232	0.0	0.0	0.0	0.0	0.0104	0.0	0.0	0.0	0.0	0.0	0.0
GGB9699_SGB15216|t__SGB15216	0.0	0.00959	0.01091	0.0	0.12081	0.01578	0.0	0.00156	0.45722	0.02915	0.43787	0.02278	0.03718	4.39932	0.08528	0.02936	0.02249	0.00076	0.00601	0.02275	0.03962	0.0165	0.03956	0.0272	0.14728	0.01826	0.03743	0.01357	0.01981	0.03594	0.01523	1.46227	0.30116	0.0	0.81346	0.01786	0.56024	0.05315	0.79504	1.18953	0.0	0.01087	0.1727	0.00766	0.4682	0.02203	0.00258	0.0	0.10926	0.0	0.0	5.13257	0.00353	0.56466	0.05936	0.48832	0.01834	0.02649	0.04612	0.0	5.9253	0.01559	0.0	0.00215	0.07988	0.15673	0.05409	0.0	1.14172	0.121	0.08625	0.34748	0.01966	0.12745	0.11379	0.04953	0.97584	0.0609	0.27072	0.01343	0.08033	0.07903	0.0	0.0	0.0	0.05175	0.0	0.04404	0.00809	0.00798	0.0	0.0	0.02371	0.0	0.0	0.05755	0.10005	1.37409	0.0	0.0	6.20574	0.02664	0.0	0.0	0.0	0.0	0.02119	0.14409	0.18093	0.02454	0.05998	0.0	0.01743	0.0	0.006	1.34644	0.09016	0.04751	0.0	0.0	0.0	0.0	0.14193	0.0	0.0	0.0	0.07784	0.07173	0.0	0.10176	0.02434	0.022	0.02671	0.8429	0.00171	0.00088	0.05879	0.04076	0.05342
GGB9701_SGB15218|t__SGB15218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04243	0.0023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB9702_SGB15220|t__SGB15220	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB9705_SGB15224|t__SGB15224	0.0	0.0	0.0	0.0	0.06775	0.09615	0.0	0.0	0.11261	0.36927	1.10281	0.01607	0.00923	0.4606	0.04066	0.00242	0.03406	0.0	0.0	0.0	0.0	0.25401	0.48304	0.0	0.0	0.03945	0.0	0.1634	0.21767	0.0	0.0	0.79936	0.08386	0.01261	0.0	0.02272	0.33687	0.0	0.0	1.21766	0.0	0.00939	0.09784	0.0	0.70035	0.0	0.02106	0.0	0.11027	0.0	0.0	0.0	0.0	0.12368	0.5531	1.1455	0.0	0.0191	0.02362	0.0	0.60246	0.11241	0.0	0.0	0.01401	0.62244	0.0	0.0	0.0	0.0	0.03674	0.44897	0.05817	0.22141	0.16709	0.01655	0.18773	0.05355	0.15854	0.0	0.0727	0.71056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51603	0.0	0.0	0.07561	0.0	0.0	0.02809	0.0	0.0499	0.0	0.37126	0.08785	0.0	0.0	0.0	0.00018	0.00845	0.0	0.0	0.0	0.1368	0.11416	0.0	0.0	0.0	0.00154	0.0	0.0	0.0	0.0	0.0	0.04292	0.0
GGB9705_SGB15225|t__SGB15225	0.0	0.03076	0.0	0.0	0.11448	0.05808	0.0	0.05749	0.27256	0.13361	0.11885	0.18269	0.04945	0.00196	0.06183	0.32226	0.03643	0.0	0.0	0.0	0.22949	0.44546	0.13887	0.0	0.38611	0.01144	0.139	0.16525	0.06593	0.00766	0.00956	0.34124	0.20792	0.00703	0.05754	0.01329	0.03963	0.0	0.74969	0.12931	0.0	0.08282	0.08842	0.01801	0.59181	0.0	0.10659	0.0	0.17269	0.0	0.0	0.0	0.0	0.2723	0.20318	0.13876	0.0546	0.2204	0.0467	0.0	0.00491	0.05891	0.0	0.05872	0.0983	0.64075	0.21118	0.0	0.13991	0.0	0.06013	0.2094	0.05895	0.07238	0.55755	0.04579	0.12799	0.04719	0.24491	0.09276	0.4327	0.29068	0.0	0.0	0.0	0.30545	0.0	0.1089	0.00146	0.0	0.0	0.03526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10544	0.15	0.03059	0.0	0.01985	0.0	0.00316	0.0	0.02842	0.00489	0.0	0.40785	0.10431	0.0	0.15101	0.00351	0.0	0.0	0.06092	0.07509	0.00614	0.38646	0.0	0.08436	0.1009	0.24339	0.0	0.0	0.0	0.16949	0.06894
GGB9707_SGB15229|t__SGB15229	0.0	0.0	0.0052	0.0	0.04598	0.09646	0.0	0.0123	0.19943	0.16066	0.19691	0.01272	0.03962	0.11694	0.07315	0.14294	0.0348	0.0	0.00298	0.00811	0.0	0.16356	0.20449	0.0	0.13846	0.04534	0.12407	0.0507	0.04975	0.03681	0.00364	0.02412	0.16549	0.00201	0.1508	0.00018	0.08454	0.01838	0.0	0.0	0.0	0.04019	0.13932	0.0	0.04434	0.00814	0.07521	0.0	0.08026	0.0	0.0	0.0	0.00307	0.21335	0.25298	0.20911	0.0228	0.01838	0.04001	0.0	0.1521	0.11765	0.0	0.0213	0.01504	0.25622	0.0672	0.0	0.0	0.0	0.0711	0.23482	0.04771	0.08932	0.15057	0.06539	0.20819	0.03794	0.24596	0.13606	0.11898	0.14971	0.0	0.0	0.0	0.03905	0.0	0.25654	0.0	0.0	0.0	0.02089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21845	0.0	0.0	0.0	0.0	0.21305	0.02422	0.14061	0.11056	0.0	0.0	0.00508	0.04447	0.02191	0.03893	0.1638	0.10375	0.0	0.06799	0.02068	0.0	0.00541	0.0	0.0	0.0	0.26644	0.06103	0.00842	0.03399	0.22632	0.05529	0.12475	0.0	0.0	0.0	0.0	0.06042	9e-05
GGB9709_SGB15238|t__SGB15238	0.0	0.0	0.0	0.0	0.16291	0.07795	0.0	0.0	0.11131	0.12876	0.3354	0.04765	0.01634	1.90495	0.00757	0.0	0.00201	0.0	0.0	0.0	0.03972	0.12003	0.22089	0.0	0.03886	0.28559	0.10485	0.11107	0.03879	0.0	0.0	0.0	0.06487	0.0	0.00064	0.0	0.0046	0.0	0.0	0.0	0.0	0.01751	0.03709	0.0	0.20402	0.00011	0.37964	0.0	0.28647	0.0	0.0	0.0	0.0	0.11041	0.20491	0.374	0.0	0.06395	0.02209	0.0	3.24512	0.08356	0.0	0.0	0.04789	0.1151	0.97084	0.0	0.0	0.0	0.00371	0.18614	0.0353	0.20613	0.30409	0.01003	0.01821	0.3074	0.43286	0.0	0.04279	1.02694	0.0	0.0	0.0	0.0	0.0	0.13967	0.0	0.0	0.0	0.05117	0.0	0.0	0.0	0.0	0.34956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18724	0.10053	0.0	0.0	0.11515	0.0	0.26845	5.93083	0.07521	0.4172	0.0	0.08263	0.00194	0.0	0.0	0.0	0.0	0.0	0.47675	0.0218	0.01454	0.0	0.0	0.00185	0.08524	0.0	0.0	0.0	0.0	0.09566	0.02411
GGB9710_SGB15239|t__SGB15239	0.0	0.0	0.0	0.0	0.11895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23065	0.0	0.48705	0.0	0.81992	0.0	0.20349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.46224	0.0	0.01464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05602	0.0	0.0	0.0	0.58806	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB9712_SGB15244|t__SGB15244	0.0	0.0	0.0	0.0	0.36625	0.4445	0.0	0.0	0.48232	0.21931	0.0	0.09763	0.02444	1.62153	0.20251	0.29429	0.22919	0.0	0.37794	0.0	0.0	0.61302	0.0	0.0	0.0	0.0	0.0	0.23339	0.06789	0.02685	0.0	0.0	0.10076	0.03641	0.08305	0.01754	0.23902	0.0	0.0	0.06197	0.0	0.0	0.13684	0.0	0.29678	0.0	0.22381	0.0	0.48666	0.0	0.0	0.0	0.0	0.46398	0.28721	0.0	0.01558	0.10645	0.02574	0.0	1.7805	0.4918	0.0	0.0	0.59332	1.12545	0.0	0.0	0.0	0.0	0.19557	0.43659	0.05311	0.80258	0.3841	0.08906	0.0	0.21964	0.28123	0.01807	0.0	0.94505	0.0	0.0	0.0	0.0	0.0	0.72049	0.0	0.0	0.0	0.59419	0.0	0.0	0.0	0.0	0.68214	0.0	0.0	0.0	0.0	0.03541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20969	0.00765	0.0	0.06841	0.0	0.10518	0.0	0.41441	0.04236	0.0	0.0	0.0	0.00419	0.23292	0.0	0.0	0.0	1.40366	0.11867	0.0467	0.0	0.04333	0.02707	0.0	0.0	0.0	0.0	0.0	0.42757	0.13469
GGB9717_SGB15270|t__SGB15270	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01655	0.0	0.0	0.0	0.0	0.0	0.11395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB9727_SGB15285|t__SGB15285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66495	0.0	0.0	0.0	0.50338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46081	0.05922	0.0	0.0	0.0	0.0	0.0	0.35324	0.0	0.0	0.0243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11912	0.0	0.0	0.0	0.0	0.0	0.04428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB9729_SGB15288|t__SGB15288_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB9730_SGB15290|t__SGB15290	0.0	0.0	0.0	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.00802	0.0	0.0	0.0	0.05255	0.0	0.00304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01236	0.0	0.0	0.0	0.0	0.0	0.01429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02461	0.04261	0.0	0.0169	0.01199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00014	0.0	0.0	0.0	0.0	0.0
GGB9730_SGB15291|t__SGB15291	0.13083	0.00352	0.15138	0.00055	0.01212	0.00738	9e-05	0.02303	0.22542	0.12372	0.0	0.04184	0.39778	0.06715	0.12204	0.17621	0.05476	0.0	0.02635	0.04657	0.0924	0.04946	0.00572	0.77918	0.1059	0.05104	0.0	0.12411	0.07364	0.13776	0.03544	0.21862	0.10506	0.31049	0.1021	0.0	0.06718	0.24509	0.0	0.0	0.1406	0.14811	0.10418	0.00397	0.0699	0.15578	0.01314	0.00019	0.01482	1.50806	0.0	0.0	0.07226	0.25251	0.15899	0.0	0.13813	0.05347	0.42595	0.0	0.16895	0.0041	0.00096	0.02709	0.03377	0.30851	0.07161	0.0	0.29653	0.04385	0.13365	0.21729	0.05575	0.03615	0.22468	0.20136	0.17544	0.17369	0.17989	0.081	0.21274	0.13181	0.0	0.0	0.0	0.05939	0.0	0.31326	0.79819	0.04044	0.08804	0.00779	0.0	0.0	0.0	0.0	0.02415	0.0	0.0	0.0	0.0	0.31081	0.0	0.0	0.0	0.01679	0.0	0.0	0.09332	0.00061	0.11421	0.02291	0.02764	0.39231	0.0233	0.18985	0.06234	0.03438	0.0	0.07378	0.05207	0.00949	0.09951	0.00874	0.02272	0.31409	0.08222	0.07495	0.03371	0.08088	0.31054	0.01471	0.04483	0.36936	0.0	0.0	0.14604	0.0	0.26696
GGB9732_SGB15302|t__SGB15302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB9734_SGB15304|t__SGB15304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
